job_description,women_proportion
"Title: Data Scientist. Description: We are seeking an analytical and results-driven Data Scientist to extract critical insights from our complex datasets. This position is for a focused expert who can independently manage the entire data science lifecycle, from hypothesis generation to model deployment. You will be given the autonomy to explore our data, identify opportunities, and build predictive models that have a direct, measurable impact on the business. Your strong quantitative and analytical skills will be essential for developing sophisticated algorithms and communicating their findings to key stakeholders. This is a fast-paced environment where you will be challenged to solve high-stakes business problems with data. We are looking for a driven professional who is competitive in their pursuit of model accuracy and actionable insights. You will be accountable for the quality and performance of your analytical work, making this a high-impact role for a self-directed individual. Requirements: A proven track record of applying data science techniques to solve real-world business problems. Expertise in Python or R, and proficiency with core data science and machine learning libraries. A strong, analytical foundation in statistics, machine learning, and experimental design. The ability to work independently on complex analytical projects and drive them to completion. A competitive spirit and a drive to produce high-impact, quantifiable results. An advanced degree (MSc or PhD) in a quantitative field such as Computer Science, Statistics, or Mathematics is required.",0.2004251684131253
"Title: Scrum Master. Description: We are looking for a focused and driven Scrum Master to lead and optimize our agile development process. This role requires a professional who can take ownership of the Scrum framework and guide teams toward high performance and rapid delivery. You will operate with autonomy to facilitate agile ceremonies, remove impediments, and ensure the team adheres to agile principles. Your primary objective is to drive efficiency and predictability in our fast-paced development environment. We need a self-directed leader with strong analytical skills to identify process bottlenecks and implement effective improvements. You will be accountable for the team's performance and their successful adoption of agile practices. This is a position for a motivated individual who is committed to process excellence and is driven by achieving quantifiable improvements in team velocity and product quality. Requirements: Proven experience as a Scrum Master for a software development team. A deep, analytical understanding of agile methodologies and the Scrum framework. The ability to work independently to guide and coach teams toward higher levels of agile maturity. A results-driven approach focused on metrics, continuous improvement, and removing obstacles. A bachelor's degree or equivalent experience is required. A relevant certification (e.g., CSM, PSM) is a significant advantage. A drive for process optimization is essential.",0.20367827778813
"Title: Network Administrator. Description: We require a focused and technically proficient Network Administrator to manage and maintain our core network infrastructure. This role is for a driven professional who can take ownership of network operations, ensuring high levels of availability and performance. You will have the autonomy to manage routers, switches, firewalls, and other network devices in a fast-paced, mission-critical environment. Your strong analytical and troubleshooting skills will be essential for resolving network issues quickly and effectively. We are looking for a self-directed individual who is accountable for the stability and security of our network. You will be expected to work independently to perform maintenance, upgrades, and configurations. This is a role for a motivated administrator who is committed to technical precision and operational excellence. Requirements: Proven experience as a Network Administrator or in a similar role. A strong, analytical understanding of networking protocols (TCP/IP, BGP, OSPF) and network hardware. Hands-on experience with firewalls, routing, and switching. The ability to work independently to troubleshoot and resolve complex network issues. A results-driven mindset focused on network uptime, security, and performance. A bachelor's degree in Information Technology or a related field is preferred. A relevant certification (e.g., CompTIA Network+, CCNA) is a strong advantage.",0.2041845470842702
"Title: Security Engineer. Description: We are looking for a highly analytical and focused Security Engineer to design and implement robust security controls across our infrastructure. This role requires a driven technical expert who can take ownership of key security domains, from network defense to application security. You will operate with a high degree of autonomy to identify vulnerabilities, architect defensive solutions, and respond to security incidents. Your mission is to build and maintain a secure environment through deep technical expertise and a proactive, analytical approach. In our fast-paced environment, you will be accountable for the integrity and resilience of our security posture. We need a self-directed professional who thrives on technical challenges and is motivated by the mission of protecting critical assets. This is a high-impact position for an engineer who is committed to achieving technical excellence in security. Requirements: Proven, hands-on experience in a security engineering role. A strong, analytical understanding of network security, operating system internals, and modern security principles. Proficiency in scripting or programming for automation and security tooling. The ability to work independently to manage and execute complex security projects. A results-oriented mindset with a focus on implementing effective and measurable security controls. A bachelor's degree in Cybersecurity, Computer Science, or a related field is required. Relevant professional certifications (e.g., CISSP, OSCP) are a significant advantage.",0.2144519521349135
"Title: Mobile Architect. Description: We require a strategic and highly analytical Mobile Architect to take command of the technical vision for our entire mobile application portfolio. This is a senior, autonomous role for a driven expert who can independently make the high-stakes architectural decisions that define our mobile strategy. Your mission is to architect a mobile platform that is powerful, scalable, and provides a dominant user experience. You will be the ultimate authority on mobile design patterns, technology choices, and performance optimization. In our fast-paced environment, we need a focused visionary who is accountable for the long-term technical integrity and success of our mobile offerings. This is a demanding challenge for a competitive expert who is motivated by building a world-class mobile ecosystem. Requirements: Extensive, proven experience as a lead mobile developer or mobile architect for large-scale, successful applications. A deep, master-level understanding of both iOS and Android platforms and their respective architectural principles. The ability to work with extreme independence to create and champion a robust mobile architectural vision. A strategic and analytical mindset with a relentless drive for technical excellence and performance. A bachelor's or master's degree in Computer Science or a related field is required.",0.2162820492826351
"Title: Blockchain Developer. Description: We are seeking a skilled and forward-thinking Blockchain Developer to take ownership of designing and building decentralized applications and smart contracts. This role is for a driven technical expert who can operate with a high degree of autonomy in a fast-paced and evolving field. You will be accountable for architecting secure and efficient blockchain solutions, from protocol-level work to application logic. Your objective is to build powerful and reliable decentralized systems. We need a self-directed engineer with a strong analytical mindset and a passion for cryptographic principles. This is a high-impact, challenging role for a motivated developer who is driven to be at the forefront of a new technological paradigm. Requirements: Proven experience in blockchain development, with expertise in technologies like Ethereum, Solidity, or other major platforms. A strong, analytical understanding of distributed systems, cryptography, and data structures. The ability to work independently to design and implement complex decentralized applications. A results-driven mindset with a focus on security, performance, and elegant design. A bachelor's degree in Computer Science or a related technical field is required. A portfolio of projects or open-source contributions is highly desirable.",0.2247149296392222
"Job Title: ICT project manager. Job Description: We are actively seeking a dedicated and organized ICT Project Manager to lead our technology projects from conception to completion. This role requires an unwavering commitment to project success, including managing timelines, budgets, and resources effectively. The ideal candidate will be an experienced project manager with a strong technical background and a proven track record of delivering complex ICT projects on time and within budget. You will be responsible for planning and overseeing projects, ensuring that they are completed in a timely fashion and within scope and budget. This is a full-time, in-office position that requires close collaboration with a wide range of stakeholders, from technical teams to business leaders. We do not offer remote work for this role to ensure strong project leadership and seamless communication across all project teams. The position may also involve travel to project sites, client meetings, and other company offices. We are looking for a candidate who is dedicated to achieving project goals and who thrives in a fast-paced, deadline-driven environment. Your leadership and dedication will be key to our project success and will be rewarded with opportunities for career advancement and the chance to lead a variety of challenging and strategic initiatives. A results-driven mindset and excellent organizational skills are paramount. Requirements: Bachelor's degree in Computer Science, Information Technology, Business Administration, or a related field. Proven working experience in ICT project management. A strong technical background, with understanding or hands-on experience in software development and web technologies. Excellent client-facing and internal communication skills. Solid organizational skills including attention to detail and multitasking skills. A high level of dedication and a commitment to delivering projects successfully. This is a non-remote position requiring full-time presence in our office. Willingness to travel for project-related meetings and oversight is essential. PMP or PRINCE2 certification is a significant advantage.",0.2343864143516798
"Title: Security Compliance Manager. Description: We are looking for a strategic and highly analytical Security Compliance Manager to take ownership of our entire security compliance program. This is a leadership role for a driven professional who can operate with significant autonomy to interpret complex regulatory frameworks and architect our compliance strategy. You will be accountable for achieving and maintaining key certifications (e.g., ISO 27001, SOC 2) and managing all audit processes. In our fast-paced environment, your objective is to build a powerful and efficient compliance function that enables the business while mitigating risk. We need a self-directed leader with a deep understanding of security controls and a commitment to rigorous execution. This is a high-impact role for an individual motivated by mastering complex challenges. Requirements: Proven experience in a security compliance, GRC, or IT audit leadership role. A deep, expert-level understanding of major security and privacy frameworks. The ability to work independently to design, manage, and lead a comprehensive compliance program. A results-driven leadership style with an uncompromising focus on detail and audit readiness. A bachelor's or master's degree in a relevant field is required. Elite certifications like CISA, CISM, or CISSP are mandatory.",0.240818164887791
"Job Title: database administrator (DBA). Job Description: We are in search of a highly committed and experienced Database Administrator (DBA) to take responsibility for the performance, integrity, and security of our databases. This critical role requires an unwavering dedication to maintaining and improving our database systems to ensure the continuous availability of our services. The ideal candidate will be a seasoned professional with a deep understanding of database management and a proactive approach to problem-solving. Your duties will include database design, implementation, monitoring, and maintenance, as well as planning for future capacity requirements. This is a full-time, on-site position. We believe that the critical nature of this role requires close interaction with our IT infrastructure team, and therefore, we do not offer a remote work option. The position may also involve travel for specialized training, conferences, and to our data center locations. We are seeking a candidate who is willing to be on-call for emergency situations and who demonstrates a profound sense of ownership and dedication to the stability and security of our data assets. Your commitment will be rewarded with a challenging and supportive work environment, along with opportunities to work with cutting-edge database technologies. A meticulous and security-conscious mindset is non-negotiable. Requirements: Bachelor's degree in Computer Science, Information Systems, or a related field. Extensive experience as a Database Administrator. Strong expertise in database management systems such as Oracle, SQL Server, or MySQL. Proficiency in database security, backup and recovery, and performance tuning. Excellent analytical and troubleshooting skills. The ability to work under pressure in a 24/7 environment. A high level of dedication and a strong commitment to data integrity. This is a full-time, office-based role with no remote work availability. Willingness to travel for training and to data center locations is a must. Relevant certifications (e.g., Oracle Certified Professional, MCSA: SQL Server) are highly advantageous.",0.2431208972786541
"Job Title: ICT trainer. Job Description: We are seeking a dedicated and engaging ICT Trainer to join our training and development team. This role is responsible for designing and delivering training programs to our employees on a variety of ICT topics, from basic computer skills to advanced software applications. A high level of dedication is required to ensure that our employees have the skills and knowledge they need to be successful in their roles. The ideal candidate will be an experienced and enthusiastic trainer with a strong understanding of ICT and a passion for teaching. You will be responsible for developing training materials, conducting training sessions, and evaluating the effectiveness of our training programs. This is a full-time, in-office position that requires a strong presence in our training facilities and close collaboration with our HR and IT teams. We do not offer remote work for this role to ensure a high level of engagement and interaction in our training sessions. The position will also involve travel to our other offices to deliver training. We are looking for a candidate who is dedicated to helping our employees grow their ICT skills and who is a dynamic and effective communicator. Your dedication and passion for training will be a key part of our employee development program. A patient and supportive attitude is a must. Requirements: Bachelor's degree in a related field or equivalent experience. Proven experience as an ICT Trainer or in a similar role. A strong understanding of ICT concepts and technologies. Excellent training and presentation skills. The ability to explain complex technical concepts in a clear and understandable way. A high level of dedication and a passion for teaching and employee development. This is an on-site position with no remote work options. Willingness to travel to deliver training is required. A training or teaching certification is a plus.",0.2514178339005293
